Product_Url,Product_Name,Rating-Star,Price,Ratings & Reviews,Specification,Offer
https://www.flipkart.com//samsung-galaxy-f23-5g-forest-green-128-gb/p/itm4001e68fda319?pid=MOBGBKQF3QM4GHWN&lid=LSTMOBGBKQF3QM4GHWNJ56YXY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=browse&fm=organic&iid=9330e8ee-82cb-4c70-85e1-c11b208cc260.MOBGBKQF3QM4GHWN.SEARCH&ppt=None&ppn=None&ssid=8o1lfk8qgw0000001673531502867,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",4.3,"₹14,999","1,38,119 Ratings & 11,221 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 8MP + 2MP | 8MP Front Camera5000 mAh Lithium Ion BatteryQualcomm Snapdragon 750G Processor1 Year Warranty Provided by the Manufacturer from Date of Purchase,37% off
https://www.flipkart.com//poco-m4-pro-5g-cool-blue-64-gb/p/itm827b338897bfe?pid=MOBGBEU7YYZGFMYB&lid=LSTMOBGBEU7YYZGFMYBKLZWIN&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=browse&fm=organic&iid=9330e8ee-82cb-4c70-85e1-c11b208cc260.MOBGBEU7YYZGFMYB.SEARCH&ppt=None&ppn=None&ssid=8o1lfk8qgw0000001673531502867,"POCO M4 Pro 5G (Cool Blue, 64 GB)",4.3,"₹11,999","33,641 Ratings & 3,005 Reviews","4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 8MP | 16MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediatek Dimensity 810 ProcessorOne Year for Handset, 6 Months for Accessories",29% off
https://www.flipkart.com//poco-m4-pro-5g-cool-blue-128-gb/p/itm509e4403d0303?pid=MOBGBEU7GKRSHG5M&lid=LSTMOBGBEU7GKRSHG5MWVOWEV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_3&otracker=browse&fm=organic&iid=9330e8ee-82cb-4c70-85e1-c11b208cc260.MOBGBEU7GKRSHG5M.SEARCH&ppt=None&ppn=None&ssid=8o1lfk8qgw0000001673531502867,"POCO M4 Pro 5G (Cool Blue, 128 GB)",4.2,"₹13,999","41,584 Ratings & 3,730 Reviews","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 8MP | 16MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediatek Dimensity 810 ProcessorOne Year for Handset, 6 Months for Accessories",30% off
https://www.flipkart.com//infinix-hot-20-play-luna-blue-64-gb/p/itm1e6903eb0203e?pid=MOBGK23WTVZZ3DDD&lid=LSTMOBGK23WTVZZ3DDDLYVBCR&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_4&otracker=browse&fm=organic&iid=9330e8ee-82cb-4c70-85e1-c11b208cc260.MOBGK23WTVZZ3DDD.SEARCH&ppt=None&ppn=None&ssid=8o1lfk8qgw0000001673531502867,"Infinix HOT 20 Play (Luna Blue, 64 GB)",4.4,"₹8,199",637 Ratings & 59 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB17.32 cm (6.82 inch) HD+ Display13Mp + AI Lens | 8MP Front Camera6000 mAh Li-ion Polymer BatteryMediaTek G37 Processor1 Year on Handset and 6 Months on Accessories,31% off
https://www.flipkart.com//poco-c31-shadow-gray-64-gb/p/itm162375acb8370?pid=MOBG73E7UBFXXMCH&lid=LSTMOBG73E7UBFXXMCHSM0ZN5&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=browse&fm=organic&iid=9330e8ee-82cb-4c70-85e1-c11b208cc260.MOBG73E7UBFXXMCH.SEARCH&ppt=None&ppn=None&ssid=8o1lfk8qgw0000001673531502867,"POCO C31 (Shadow Gray, 64 GB)",4.3,"₹7,499","1,83,688 Ratings & 11,185 Reviews","4 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.59 cm (6.53 inch) HD+ Display13MP + 2MP + 2MP | 5MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediaTek Helio G35 Processor1 Year Warranty for Handset, 6 Months for Accessories",37% off
https://www.flipkart.com//redmi-note-12-pro-5g-iceberg-blue-256-gb/p/itmdeba28a40f374?pid=MOBGH2UVAVEDXJPK&lid=LSTMOBGH2UVAVEDXJPK51IYG7&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=browse&fm=organic&iid=9330e8ee-82cb-4c70-85e1-c11b208cc260.MOBGH2UVAVEDXJPK.SEARCH&ppt=None&ppn=None&ssid=8o1lfk8qgw0000001673531502867,"REDMI Note 12 Pro+ 5G (Iceberg Blue, 256 GB)",No rating find,"₹32,999",No find,12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display200MP + 8MP + 2MP | 16MP Front Camera4980 mAh Lithium Polymer BatteryMediatek Dimensity 1080 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,10% off
https://www.flipkart.com//redmi-note-12-pro-5g-obsidian-black-256-gb/p/itm045272629c8bf?pid=MOBGH2UVTFKREUVZ&lid=LSTMOBGH2UVTFKREUVZIZUGGH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=browse&fm=organic&iid=9330e8ee-82cb-4c70-85e1-c11b208cc260.MOBGH2UVTFKREUVZ.SEARCH&ppt=None&ppn=None&ssid=8o1lfk8qgw0000001673531502867,"REDMI Note 12 Pro+ 5G (Obsidian Black, 256 GB)",No rating find,"₹32,999",No find,12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display200MP + 8MP + 2MP | 16MP Front Camera4980 mAh Lithium Polymer BatteryMediatek Dimensity 1080 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,10% off
https://www.flipkart.com//motorola-g32-mineral-gray-64-gb/p/itmdcfa4c4022714?pid=MOBGEA3CZ8Z7HWCY&lid=LSTMOBGEA3CZ8Z7HWCYPHBSGA&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=browse&fm=organic&iid=9330e8ee-82cb-4c70-85e1-c11b208cc260.MOBGEA3CZ8Z7HWCY.SEARCH&ppt=None&ppn=None&ssid=8o1lfk8qgw0000001673531502867,"MOTOROLA G32 (Mineral Gray, 64 GB)",4.2,"₹9,999","16,997 Ratings & 1,707 Reviews",4 GB RAM | 64 GB ROM16.64 cm (6.55 inch) Full HD+ Display50MP + 8MP + 2MP | 16MP Front Camera5000 mAh Lithium Polymer BatteryQualcomm Snapdragon 680 Processor1 Year on Handset and 6 Months on Accessories,41% off
https://www.flipkart.com//motorola-e40-carbon-gray-64-gb/p/itm0ca635007c9e2?pid=MOBG2EMWUMUFGSZE&lid=LSTMOBG2EMWUMUFGSZEJNGZMU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=browse&fm=organic&iid=9330e8ee-82cb-4c70-85e1-c11b208cc260.MOBG2EMWUMUFGSZE.SEARCH&ppt=None&ppn=None&ssid=8o1lfk8qgw0000001673531502867,"MOTOROLA e40 (Carbon Gray, 64 GB)",4.1,"₹7,999","56,085 Ratings & 5,600 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) HD+ Display48MP + 2MP + 2MP | 8MP Front Camera5000 mAh BatteryUNISOC T700 Processor1 Year on Handset and 6 Months on Accessories,27% off
https://www.flipkart.com//motorola-e40-pink-clay-64-gb/p/itm5d6f2871d1bbf?pid=MOBG2EMW2ZUR4BFG&lid=LSTMOBG2EMW2ZUR4BFG7CQBAI&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=browse&fm=organic&iid=9330e8ee-82cb-4c70-85e1-c11b208cc260.MOBG2EMW2ZUR4BFG.SEARCH&ppt=None&ppn=None&ssid=8o1lfk8qgw0000001673531502867,"MOTOROLA e40 (Pink Clay, 64 GB)",4.1,"₹7,999","56,085 Ratings & 5,600 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) HD+ Display48MP + 2MP + 2MP | 8MP Front Camera5000 mAh BatteryUNISOC T700 Processor1 Year on Handset and 6 Months on Accessories,27% off
